s exters,[ɛks.'t̪ɛr.sʊs],extersus,0
113484,113484,incasurus,a,aps---mn1-,incasur incasur incasur,[ɪŋ.'ka.sʊ.rʊs],incasurus,0
113468,i0815,incalcatus,a,aps---mn1-,incalcat incalcat incalcat,[ɪŋ.'kaɫ.ka.t̪ʊs],incalcatus,0
113469,i0818,incallesco,v,v1spia--3-,,[ɪŋ.kaɫ.'lɛs.kɔ],incallesco,0
113470,i0820,incallo,v,v1spia--1-,incall incallau incalla,[ɪŋ.'kaɫ.lɔ],incallo,0
113491,113491,incelebris,a,aps---cn3i,incelebr incelebr incelebr,[ɪŋ.'kɛ.lɛ.brɪs],incelebris,0
113471,i0821,incalo,v,v1spia--1-,incal incalau incala,['ɪŋ.ka.lɔ],incalo,0
113472,i0823,incandido,v,v1spia--1-,incandid incandidau incandida,[ɪŋ.'kan̪.d̪ɪ.d̪ɔ],incandido,0
113556,113556,inclango,v,v1spia--3-,,['ɪŋ.kla.ŋgɔ],inclango,0
113434,113434,inarmo,v,v1spia--1-,inarm inarmau inarmat,[ɪ.'n̪ar.mɔ],inarmo,0
113476,i9831,incapax,a,aps---an3i,incapac incapac incapac,['ɪŋ.ka.paks],incapax,0
113477,i0831,incapistro,v,v1spia--1-,incapistr incapistrau incapistrat,[ɪŋ.ka.'pɪs.t̪rɔ],incapistro,0
113478,i0833,incaptus,a,aps---mn1-,incapt incapt incapt,[ɪŋ.'kap.t̪ʊs],incaptus,0
113480,i0837,incaseatus,a,aps---mn1-,incaseat incaseat incaseat,[ɪŋ.ka.'sɛ̣.ja.t̪ʊs],incaseatus,0
113436,i0785,inartificialis,a,aps---cn3i,inartificial inartificial inartificial,[ɪ.n̪ar.t̪ɪ.fɪ.'kɪ̣.ja.lɪs],inartificialis,0
113481,i0839,incassus,a,aps---mn1-,incass incass incass,[ɪŋ.'kas.sʊs],incassus,0
113482,i0841,incastratura,n,n-s---fn1-,incastratur,[ɪŋ.kas.'t̪ra.t̪ʊ.ra],incastratura,0
113486,i0843,incauillatio,n,n-s---fn3-,incauillation,[ɪŋ.ka.wɪɫ.'la.t̪ɪ̣.jɔ],incauillatio,0
113488,i0845,incauo,v,v1spia--1-,incau incauau incaua,['ɪŋ.ka.wɔ],incauo,0
113489,i0846,incautela,n,n-s---fn1-,incautel,[ɪŋ.'kaw.t̪ɛ.la],incautela,0
113492,i0853,incendefacio,v,v1spia--3i,incendefac incendefec -,[ɪŋ.kɛn̪.d̪ɛ.'fa.kɪ̣.jɔ],incendefacio,0
113496,i0859,inceno,v,v1spia--1-,incen incenau incenat,['ɪŋ.kɛ.n̪ɔ],inceno,0
33942,33942,dedititius,n,n-s---mn2-,dedititi,[deː.dɪˈtɪ.ti.ʊs],dedititius,0
113498,113498,incensorius,a,aps---mn1-,incensori incensori incensori,[ɪŋ.keːn̪.'sɔ.rɪ̣.jʊs],incensorius,0
113499,113499,incentiue,r,rp--------,,[ɪŋ.'kɛn̪.t̪ɪ.wɛ],incentiue,0
113501,i0867,incentrix,n,n-s---fn3-,incentric,[ɪŋ.'kɛn̪.t̪rɪks],incentrix,0
113502,i0870,inceptiuus,a,aps---mn1-,inceptiu inceptiu inceptiu,[ɪŋ.'kɛp.t̪ɪ.wʊs],inceptiuus,0
113503,113503,inceptus,a,aps---mn1-,incept incept incept,[ɪŋ.'kɛp.t̪ʊs],inceptus,0
113504,113504,inceramenta,n,n-p---nn2-,incerament,[ɪŋ.kɛ.ra.'mɛn̪.t̪a],inceramenta,0
113505,113505,inceratus,a,aps---mn1-,incerat incerat incerat,[ɪŋ.'kɛ.ra.t̪ʊs],inceratus,0
113507,113507,incerto,r,rp--------,,[ɪŋ.'kɛr.t̪oː],incerto,0
113509,113509,incessabiliter,r,rp--------,,[ɪŋ.kɛs.sa.'bɪ.lɪ.t̪ɛr],incessabiliter,0
113506,i0876,incertitudo,n,n-s---fn3-,incertitudin,[ɪŋ.kɛr.'t̪ɪ.t̪ʊ.d̪ɔ],incertitudo,0
113508,i0879,incespitator,n,n-s---mn3-,incespitator,[ɪŋ.kɛs.'pɪ.t̪a.t̪ɔr],incespitator,0
113513,113513,incho,n,n-s---fn3-,inchon,['ɪŋ.kʰɔ],incho,0
113510,i0881,incessans,a,aps---an3i,incessant incessant incessant,[ɪŋ.'kɛs.saːn̪s],incessans,0
113516,113516,inchoate,r,rp--------,,[ɪŋ.'kʰɔ.ja.t̪ɛ],inchoate,0
113511,i0883,incestator,n,n-s---mn3-,incestator,[ɪŋ.'kɛs.t̪a.t̪ɔr],incestator,0
113514,i0890,inchoamen,n,n-s---nn3-,inchoamin,[ɪŋ.'kʰɔ.ja.mɛn̪],inchoamen,0
113520,113520,inchoatus,a,aps---mn1-,inchoat inchoat inchoat,[ɪŋ.'kʰɔ.ja.t̪ʊs],inchoatus,0
113521,113521,inchor,n,n-s---mn3-,inchor,['ɪŋ.kʰɔr],inchor,0
113515,i0891,inchoamenta,n,n-p---nn2-,inchoament,[ɪŋ.kʰɔ.ja.'mɛn̪.t̪a],inchoamenta,0
113524,113524,inciduus,a,aps---mn1-,incidu incidu incidu,[ɪŋ.'kɪ.d̪ʊ.jʊs],inciduus,0
113525,113525,inciens,n,n-s---fn3i,incient,['ɪŋ.kɪ̣.jeːn̪s],inciens,0
113526,113526,incilis,n,n-s---mn3i,incil,['ɪŋ.kɪ.lɪs],incilis,0
113527,113527,incinctus,a,aps---mn1-,incinct incinct incinct,[ɪŋ.'kɪŋk.t̪ʊs],incinctus,0
113517,i0892,inchoatio,n,n-s---fn3-,inchoation,[ɪŋ.kʰɔ.'ja.t̪ɪ̣.jɔ],inchoatio,0
113518,i0893,inchoatiuus,a,aps---mn1-,inchoatiu inchoatiu inchoatiu,[ɪŋ.kʰɔ.'ja.t̪ɪ.wʊs],inchoatiuus,0
113519,i0894,inchoator,n,n-s---mn3-,inchoator,[ɪŋ.'kʰɔ.ja.t̪ɔr],inchoator,0
113531,113531,incipesso,v,v1spia--3-,,[ɪŋ.kɪ.'pɛs.sɔ],incipesso,0
113532,113532,incircumcisio,n,n-s---fn3-,incircumcision,[ɪŋ.kɪr.kʊm.'kɪ.sɪ̣.jɔ],incircumcisio,0
113534,113534,incircumspecte,r,rp--------,,[ɪŋ.kɪr.kʊms.'pɛk.t̪ɛ],incircumspecte,0
113522,i0895,incibo,v,v1spia--1-,incib incibau inciba,['ɪŋ.kɪ.bɔ],incibo,0
113523,i0896,incicur,a,aps---an3-,incicor incicor incicor,['ɪŋ.kɪ.kʊr],incicur,0
113538,113538,incisus,a,aps---mn1-,incis incis incis,['ɪŋ.kɪ.sʊs],incisus,0
113530,i0905,incingulum,n,n-s---nn2-,incingul,[ɪŋ.'kɪŋ.gʷɫũː],incingulum,0
113544,113544,incitatius,r,rp--------,,[ɪŋ.kɪ.'t̪a.t̪ɪ̣.jʊs],incitatius,0
113547,113547,incitatus,n,n-s---mn4-,incitat,[ɪŋ.'kɪ.t̪a.t̪ʊs],incitatus,0
113533,i0910,incircumcisus,a,aps---mn1-,incircumcis incircumcis incircumcis,[ɪŋ.kɪr.'kʊm.kɪ.sʊs],incircumcisus,0
113550,113550,inciuilia,n,n-p---nn3i,inciuil,[ɪŋ.kɪ.'wɪ.lɪ̣.ja],inciuilia,0
113535,i0912,incircumspectus,a,aps---mn1-,incircumspect incircumspect incircumspect,[ɪŋ.kɪr.kʊms.'pɛk.t̪ʊs],incircumspectus,0
113536,i0915,incisor,n,n-s---mn3-,incisor,['ɪŋ.kɪ.sɔr],incisor,0
113553,113553,inciuilitier,r,rp--------,,[ɪŋ.kɪ.wɪ.'lɪ.t̪ɪ̣.jɛr],inciuilitier,0
113537,i0925,incisura,n,n-s---fn1-,incisur,[ɪŋ.'kɪ.sʊ.ra],incisura,0
113555,113555,inclamatus,a,aps---mn1-,inclamat inclamat inclamat,[ɪŋ.'kla.ma.t̪ʊs],inclamatus,0
113539,i9862,incisus,n,n-s---mn4-,incis,['ɪŋ.kɪ.sʊs],incisus,0
113540,i0924,incita,n,n-p---nn2-,incit,['ɪŋ.kɪ.t̪a],incita,0
113541,i0916,incitabilis,a,aps---cn3i,incitabil incitabil incitabil,[ɪŋ.kɪ.'t̪a.bɪ.lɪs],incitabilis,0
113542,i0917,incitabulum,n,n-s---nn2-,incitabul,[ɪŋ.kɪ.'t̪a.bʊ.ɫũː],incitabulum,0
113543,i0924,incitae,n,n-p---fn1-,incit,['ɪŋ.kɪ.t̪aj],incitae,0
113546,i0921,incitatrix,n,n-s---fn3-,incitatric,[ɪŋ.'kɪ.t̪a.t̪rɪks],incitatrix,0
113548,i0922,incitega,n,n-s---fn1-,inciteg,[ɪŋ.'kɪ.t̪ɛ.ga],incitega,0
113551,i0926,inciuilis,a,aps---cn3i,inciuil inciuil inciuil,[ɪŋ.'kɪ.wɪ.lɪs],inciuilis,0
113552,i0927,inciuilitas,n,n-s---fn3-,inciuilitat,[ɪŋ.kɪ.'wɪ.lɪ.t̪as],inciuilitas,0
113554,i0928,inclamatio,n,n-s---fn3-,inclamation,[ɪŋ.kla.'ma.t̪ɪ̣.jɔ],inclamatio,0
113495,i3140,incenis,a,aps---cn3i,incen incen incen,['ɪŋ.kɛ.n̪ɪs],incenis,0
113560,i0936,inclausibilis,a,aps---cn3i,inclausibil inclausibil inclausibil,[ɪŋ.kla.'wsɪ.bɪ.lɪs],inclausibilis,0
113561,i0940,inclinamentum,n,n-s---nn2-,inclinament,[ɪŋ.klɪ.'n̪a.mɛ.n̪t̪ũː],inclinamentum,0
113562,i0942,inclinatiuus,a,aps---mn1-,inclinatiu inclinatiu inclinatiu,[ɪŋ.klɪ.'n̪a.t̪ɪ.wʊs],inclinatiuus,0
113563,i9863,inclinatus,n,n-s---mn4-,inclinat,[ɪŋ.kliː.'n̪aː.t̪ʊs],inclinatus,0
113564,i1347,inclinis,a,aps---cn3i,inclin inclin inclin,['ɪŋ.klɪ.n̪ɪs],inclinis,0
113565,i0947,inclusor,n,n-s---mn3-,inclusor,['ɪŋ.klʊ.sɔr],inclusor,0
33957,33957,eliminator,n,n-s---mn3-,eliminator,[ɛ.lɪ.'mɪ.n̪a.t̪ɔr],eliminator,0
33954,33954,exorcistus,n,n-s---mn4-,exorcist,[ɛk.sɔr.'kɪs.t̪ʊs],exorcistus,0
113568,113568,incoctilia,n,n-p---nn3i,incoctil,[ɪŋ.kɔk.'t̪ɪ.lɪ̣.ja],incoctilia,0
113569,i0950,incoctilis,a,aps---cn3i,incoctil incoctil incoctil,[ɪŋ.'kɔk.t̪ɪ.lɪs],incoctilis,0
113570,i0951,incoctio,n,n-s---fn3-,incoction,[ɪŋ.'kɔk.t̪ɪ̣.jɔ],incoctio,0
113571,i3144,incoctus,a,aps---mn1-,incoct incoct incoct,[ɪŋ.'kɔk.t̪ʊs],incoctus,0
113572,113572,incoencenatus,a,aps---mn1-,incoencenat incoencenat incoencenat,[ɪŋkojŋ.'kɛ.n̪a.t̪ʊs],incoencenatus,0
113573,113573,incoencenis,a,aps---cn3i,incoencen incoencen incoencen,['ɪŋkojŋ.kɛ.n̪ɪs],incoencenis,0
113574,113574,incoenceno,v,v1spia--1-,incoencen incoencenau incoencenat,['ɪŋkojŋ.kɛ.n̪ɔ],incoenceno,0
113578,113578,incogitate,r,rp--------,,[ɪŋ.kɔ.'gɪ.t̪a.t̪ɛ],incogitate,0
113579,113579,incognitio,n,n-s---fn3-,incognition,[ɪŋ.kɔŋ.'n̪ɪ.t̪ɪ̣.jɔ],incognitio,0
113575,i0952,incoeptus,a,aps---mn1-,incoept incoept incoept,['ɪŋkojp.t̪ʊs],incoeptus,0
113577,i0954,incogitabilis,a,aps---cn3i,incogitabil incogitabil incogitabil,[ɪŋ.kɔ.gɪ.'t̪a.bɪ.lɪs],incogitabilis,0
113583,113583,incohamenta,n,n-p---nn2-,incohament,[ɪŋ.kɔ.ha.'mɛn̪.t̪a],incohamenta,0
113584,113584,incohate,r,rp--------,,[ɪŋ.'kɔ.ha.t̪ɛ],incohate,0
113585,113585,incohatio,n,n-s---fn3-,incohation,[ɪŋ.kɔ.'ha.t̪ɪ̣.jɔ],incohatio,0
113587,113587,incohator,n,n-s---mn3-,incohator,[ɪŋ.'kɔ.ha.t̪ɔr],incohator,0
113588,113588,incoibilis,a,aps---cn3i,incoibil incoibil incoibil,[ɪŋ.kɔ.'jɪ.bɪ.lɪs],incoibilis,0
113580,i0956,incognoscibilis,a,aps---cn3i,incognoscibil incognoscibil incognoscibil,[ɪŋ.kɔŋ.n̪ɔs.'kɪ.bɪ.lɪs],incognoscibilis,0
113590,113590,incoinquinabiliter,r,rp--------,,[ɪŋ.kɔ.jɪŋ.kʷɪ.n̪a.'bɪ.lɪ.t̪ɛr],incoinquinabiliter,0
113581,i0957,incognosco,v,v1spia--3-,,[ɪŋ.kɔŋ.'n̪ɔs.kɔ],incognosco,0
113582,i0958,incohaerens,a,aps---an3i,incohaerent incohaerent incohaerent,[ɪŋ.kɔ.'haj.reːn̪s],incohaerens,0
113586,i3152,incohatiuus,a,aps---mn1-,incohatiu incohatiu incohatiu,[ɪŋ.kɔ.'ha.t̪ɪ.wʊs],incohatiuus,0
113598,113598,incomiter,r,rp--------,,[ɪŋ.'kɔ.mɪ.t̪ɛr],incomiter,0
113601,113601,incommeabilis,a,aps---cn3i,incommeabil incommeabil incommeabil,[ɪŋ.kɔ.mmɛ̣.'ja.bɪ.lɪs],incommeabilis,0
113603,113603,incommibilitas,n,n-s---fn3-,incommibilitat,[ɪŋ.kɔ.mmɪ.'bɪ.lɪ.t̪as],incommibilitas,0
113604,113604,incomminatus,a,aps---mn1-,incomminat incomminat incomminat,[ɪŋ.kɔ.'mmɪ.n̪a.t̪ʊs],incomminatus,0
113605,113605,incomminutus,a,aps---mn1-,incomminut incomminut incomminut,[ɪŋ.kɔ.'mmɪ.n̪ʊ.t̪ʊs],incomminutus,0
113592,i0964,incolatus,a,aps---mn1-,incolat incolat incolat,[ɪŋ.'kɔ.la.t̪ʊs],incolatus,0
113607,113607,incommixtus,a,aps---mn1-,incommixt incommixt incommixt,[ɪŋ.'kɔ.mmɪ.kst̪ʊs],incommixtus,0
113609,113609,incommodans,a,aps---an3i,incommodant incommodant incommodant,[ɪŋ.'kɔ.mmɔ.d̪aːn̪s],incommodans,0
113594,i0966,incolor,a,aps---an3-,incolor incolor incolor,['ɪŋ.kɔ.lɔr],incolor,0
113595,i0967,incolorate,r,rp--------,,[ɪŋ.kɔ.'lɔ.ra.t̪ɛ],incolorate,0
113596,i0970,incomes,a,aps---an3-,incomit incomit incomit,['ɪŋ.kɔ.mɛs],incomes,0
113597,i0971,incomis,a,aps---cn3i,incom incom incom,['ɪŋ.kɔ.mɪs],incomis,0
113593,113593,incolo,v,v1spia--1-,incol incolau incola,['ɪŋ.kɔ.lɔ],incolo,0
113599,i0975,incomium,n,n-s---nn2-,incomi,[ɪŋ.'kɔ.mɪ̣.jũː],incomium,0
113600,i0536,incomma,n,n-s---nn3-,incommat,['ɪŋ.kɔ.mma],incomma,0
113602,i0978,incommensurabilis,a,aps---cn3i,incommensurabil incommensurabil incommensurabil,[ɪŋ.kɔ.mmeː.n̪sʊ.'ra.bɪ.lɪs],incommensurabilis,0
113606,i0980,incommiscibilis,a,aps---cn3i,incommiscibil incommiscibil incommiscibil,[ɪŋ.kɔ.mmɪ.'skɪ.bɪ.lɪs],incommiscibilis,0
113608,i0981,incommobilitas,n,n-s---fn3-,incommobilitat,[ɪŋ.kɔ.mmɔ.'bɪ.lɪ.t̪as],incommobilitas,0
113611,i0986,incommote,r,rp--------,,[ɪŋ.'kɔ.mmɔ.t̪ɛ],incommote,0
113613,i0988,incommunicatus,a,aps---mn1-,incommunicat incommunicat incommunicat,[ɪŋ.kɔ.mmʊ.'n̪ɪ.ka.t̪ʊs],incommunicatus,0
113558,i0933,inclaudibilis,a,aps---cn3i,inclaudibil inclaudibil inclaudibil,[ɪŋ.kla.'wd̪ɪ.bɪ.lɪs],inclaudibilis,0
113617,i0995,incomparabilitas,n,n-s---fn3-,incomparabilitat,[ɪŋ.kɔm.pa.ra.'bɪ.lɪ.t̪as],incomparabilitas,0
113618,i0994,incomparatus,a,aps---mn1-,incomparat incomparat incomparat,[ɪŋ.kɔm.'pa.ra.t̪ʊs],incomparatus,0
113619,i0996,incompassibilis,a,aps---cn3i,incompassibil incompassibil incompassibil,[ɪŋ.kɔm.pas.'sɪ.bɪ.lɪs],incompassibilis,0
113620,i0997,incompellabilis,a,aps---cn3i,incompellabil incompellabil incompellabil,[ɪŋ.kɔm.pɛɫ.'la.bɪ.lɪs],incompellabilis,0
113621,i0999,incompetens,a,aps---an3i,incompetent incompetent incompetent,[ɪŋ.'kɔm.pɛ.t̪eːn̪s],incompetens,0
113624,i1000,incompletus,a,aps---mn1-,incomplet incomplet incomplet,[ɪŋ.'kɔm.plɛ.t̪ʊs],incompletus,0
33973,33973,facunde,r,rp--------,facundius facundissime,[fa.'kʊn̪.d̪ɛ],facunde,0
113623,113623,incomplebilis,a,aps---cn3i,incomplebil incomplebil incomplebil,[ɪŋ.kɔm.'plɛ.bɪ.lɪs],incomplebilis,0
113625,113625,incomplexus,a,aps---mn1-,incomplex incomplex incomplex,[ɪŋ.'kɔm.plɛ.ksʊs],incomplexus,0
113626,113626,incompos,a,aps---an3-,incompot incompot incompot,[ɪŋ.'kɔm.pɔs],incompos,0
113627,113627,incomprehensibiliter,r,rp--------,,[ɪŋ.kɔm.prɛ.heː.n̪sɪ.'bɪ.lɪ.t̪ɛr],incomprehensibiliter,0
113629,113629,incomprensus,a,aps---mn1-,incomprens incomprens incomprens,[ɪŋ.kɔm.'preː.n̪sʊs],incomprensus,0
113630,113630,incompte,r,rp--------,,[ɪŋ.'kɔmp.t̪ɛ],incompte,0
113631,113631,incomte,r,rp--------,,[ɪŋ.'kɔm.t̪ɛ],incomte,0
113632,113632,incomtus,a,aps---mn1-,incomt incomt incomt,[ɪŋ.'kɔm.t̪ʊs],incomtus,0
113635,113635,inconcinne,r,rp--------,,[ɪŋ.kɔŋ.'kɪn̪.n̪ɛ],inconcinne,0
113637,113637,inconcinniter,r,rp--------,,[ɪŋ.kɔŋ.'kɪn̪.n̪ɪ.t̪ɛr],inconcinniter,0
113640,113640,inconcusse,r,rp--------,,[ɪŋ.kɔŋ.'kʊs.sɛ],inconcusse,0
113641,113641,inconexio,n,n-s---fn3-,inconexion,[ɪŋ.kɔ.'n̪ɛk.sɪ̣.jɔ],inconexio,0
113642,113642,inconexus,a,aps---mn1-,inconex inconex inconex,[ɪŋ.kɔ.'n̪ɛk.sʊs],inconexus,0
113644,113644,inconfidens,a,aps---an3i,inconfident inconfident inconfident,['ɪŋkɔːn̪.fɪ.d̪eːn̪s],inconfidens,0
113645,113645,inconfuse,r,rp--------,,['ɪŋkɔːn̪.fʊ.sɛ],inconfuse,0
113647,113647,inconfusibiliter,r,rp--------,,[ɪŋkɔːn̪.fʊ.sɪ.'bɪ.lɪ.t̪ɛr],inconfusibiliter,0
113634,i3148,inconciliatus,a,aps---mn1-,inconciliat inconciliat inconciliat,[ɪŋ.kɔŋ.kɪ.'lɪ̣.ja.t̪ʊs],inconciliatus,0
113650,113650,incongruenter,r,rp--------,,[ɪŋ.kɔŋ.'grʊ.jɛ.n̪t̪ɛr],incongruenter,0
113636,i1009,inconcinnitas,n,n-s---fn3-,inconcinnitat,[ɪŋ.kɔŋ.'kɪn̪.n̪ɪ.t̪as],inconcinnitas,0
113657,113657,inconnconexus,a,aps---mn1-,inconnconex inconnconex inconnconex,[ɪŋ.kɔn̪ŋ.kɔ.'n̪ɛk.sʊs],inconnconexus,0
113638,i1011,inconcretus,a,aps---mn1-,inconcret inconcret inconcret,[ɪŋ.'kɔŋ.krɛ.t̪ʊs],inconcretus,0
113660,113660,inconniuens,a,aps---an3i,inconniuent inconniuent inconniuent,[ɪŋ.'kɔn̪.n̪ɪ.weːn̪s],inconniuens,0
113643,i1015,inconfectus,a,aps---mn1-,inconfect inconfect inconfect,[ɪŋkɔːn̪.'fɛk.t̪ʊs],inconfectus,0
113661,113661,inconniuus,a,aps---mn1-,inconniu inconniu inconniu,[ɪŋ.'kɔn̪.n̪ɪ.wʊs],inconniuus,0
113662,113662,inconruptibilis,a,aps---cn3i,inconruptibil inconruptibil inconruptibil,[ɪŋ.kɔ.n̪rʊ.'pt̪ɪ.bɪ.lɪs],inconruptibilis,0
113663,113663,inconscientia,n,n-s---fn1-,inconscienti,[ɪŋkɔːn̪s.kɪ̣.'jɛn̪.t̪ɪ̣.ja],inconscientia,0
113646,i1016,inconfusibilis,a,aps---cn3i,inconfusibil inconfusibil inconfusibil,[ɪŋkɔːn̪.fʊ.'sɪ.bɪ.lɪs],inconfusibilis,0
113648,i1018,incongelabilis,a,aps---cn3i,incongelabil incongelabil incongelabil,[ɪŋ.kɔŋ.gɛ.'la.bɪ.lɪs],incongelabilis,0
113649,i1019,incongressibilis,a,aps---cn3i,incongressibil incongressibil incongressibil,[ɪŋ.kɔŋ.grɛ.'ssɪ.bɪ.lɪs],incongressibilis,0
113651,i1021,incongruentia,n,n-s---fn1-,incongruenti,[ɪŋ.kɔŋ.grʊ.'jɛ.n̪t̪ɪ̣.ja],incongruentia,0
113652,i1022,incongruitas,n,n-s---fn3-,incongruitat,[ɪŋ.'kɔŋ.gru.jt̪as],incongruitas,0
113654,i1024,inconiugus,a,aps---mn1-,inconiug inconiug inconiug,[ɪŋ.'kɔ.n̪ɪ̣.jʊgʷs],inconiugus,0
113656,i1027,inconiuus,a,aps---mn1-,inconiu inconiu inconiu,[ɪŋ.'kɔ.n̪ɪ.wʊs],inconiuus,0
113658,i1028,inconnexio,n,n-s---fn3-,inconnexion,[ɪŋ.kɔn̪.'n̪ɛk.sɪ̣.jɔ],inconnexio,0
113659,i1029,inconnexus,a,aps---mn1-,inconnex inconnex inconnex,[ɪŋ.kɔn̪.'n̪ɛk.sʊs],inconnexus,0
113664,i1030,inconscius,a,aps---mn1-,inconsci inconsci inconsci,['ɪŋkɔːn̪s.kɪ̣.jʊs],inconscius,0
113666,i1032,inconsentaneus,a,aps---mn1-,inconsentane inconsentane inconsentane,[ɪŋkɔːn̪.'sɛn̪.t̪an̪ews],inconsentaneus,0
113667,i1033,inconsentiens,a,aps---an3i,inconsentient inconsentient inconsentient,[ɪŋkɔːn̪.'sɛn̪.t̪ɪ̣.jeːn̪s],inconsentiens,0
113668,i1034,inconsequens,a,aps---an3i,inconsequent inconsequent inconsequent,['ɪŋkɔːn̪.sɛ.kʷeːn̪s],inconsequens,0
113616,i0992,incommutatus,a,aps---mn1-,incommutat incommutat incommutat,[ɪŋ.kɔ.'mmʊ.t̪a.t̪ʊs],incommutatus,0
113672,i1039,inconsideratio,n,n-s---fn3-,inconsideration,[ɪŋkɔːn̪.sɪ.d̪ɛ.'ra.t̪ɪ̣.jɔ],inconsideratio,0
33994,33994,halica,n,n-s---fn1-,halic,['ha.lɪ.ka],halica,0
113673,113673,inconsiderato,r,rp--------,,[ɪŋkɔːn̪.sɪ.'d̪ɛ.ra.t̪ɔ],inconsiderato,0
113674,113674,inconsilium,n,n-s---nn2-,inconsili,[ɪŋkɔːn̪.'sɪ.lɪ̣.jũː],inconsilium,0
113677,i1043,inconsonans,a,aps---an3i,inconsonant inconsonant inconsonant,['ɪŋkɔːn̪.sɔ.n̪aːn̪s],inconsonans,0
113678,113678,inconsonanter,r,rp--------,,[ɪŋkɔːn̪.sɔ.'n̪an̪.t̪ɛr],inconsonanter,0
113679,i1044,inconsonantia,n,n-s---fn1-,inconsonanti,[ɪŋkɔːn̪.sɔ.'n̪an̪.t̪ɪ̣.ja],inconsonantia,0
113680,i1045,inconsonus,a,aps---mn1-,inconson inconson inconson,['ɪŋkɔːn̪.sɔ.n̪ʊs],inconsonus,0
113681,i1046,inconspectus,a,aps---mn1-,inconspect inconspect inconspect,[ɪŋkɔːn̪s.'pɛk.t̪ʊs],inconspectus,0
113682,i1047,inconspicuus,a,aps---mn1-,inconspicu inconspicu inconspicu,[ɪŋkɔːn̪s.'pɪ.kʊ.jʊs],inconspicuus,0
113683,i1048,inconspretus,a,aps---mn1-,inconspret inconspret inconspret,['ɪŋkɔːn̪s.prɛ.t̪ʊs],inconspretus,0
113684,113684,inconstructus,a,aps---mn1-,inconstruct inconstruct inconstruct,['ɪŋkɔːn̪s.t̪rʊ.kt̪ʊs],inconstructus,0
113685,113685,inconstruo,v,v1spia--3-,inconstru - -,['ɪŋkɔːn̪s.t̪rʊ.jɔ],inconstruo,0
113686,113686,inconsubstantiuus,a,aps---mn1-,inconsubstantiu inconsubstantiu inconsubstantiu,[ɪŋkɔːn̪.sʊps.'t̪an̪.t̪ɪ.wʊs],inconsubstantiuus,0
113688,113688,inconsulto,r,rp--------,,[ɪŋkɔːn̪.'sʊɫ.t̪ɔ],inconsulto,0
113691,113691,inconsumptibilis,a,aps---cn3i,inconsumptibil inconsumptibil inconsumptibil,[ɪŋkɔːn̪.sʊmp.'t̪ɪ.bɪ.lɪs],inconsumptibilis,0
113689,i1052,inconsultum,n,n-s---nn2-,inconsult,[ɪŋkɔːn̪.'sʊɫ.t̪ũː],inconsultum,0
113690,i1052,inconsultus,n,n-s---mn4-,inconsult,[ɪŋkɔːn̪.'sʊɫ.t̪ʊs],inconsultus,0
113695,113695,incontaminabiliter,r,rp--------,,[ɪŋ.kɔn̪.t̪a.mɪ.n̪a.'bɪ.lɪ.t̪ɛr],incontaminabiliter,0
113696,113696,incontatus,a,aps---mn1-,incontat incontat incontat,[ɪŋ.'kɔn̪.t̪a.t̪ʊs],incontatus,0
113692,i1056,inconsutilis,a,aps---cn3i,inconsutil inconsutil inconsutil,[ɪŋkɔːn̪.'sʊ.t̪ɪ.lɪs],inconsutilis,0
113693,i1057,inconsutus,a,aps---mn1-,inconsut inconsut inconsut,['ɪŋkɔːn̪.sʊ.t̪ʊs],inconsutus,0
113700,113700,incontinuus,a,aps---mn1-,incontinu incontinu incontinu,[ɪŋ.kɔn̪.'t̪ɪ.n̪ʊ.jʊs],incontinuus,0
113694,i1058,incontaminabilis,a,aps---cn3i,incontaminabil incontaminabil incontaminabil,[ɪŋ.kɔn̪.t̪a.mɪ.'n̪a.bɪ.lɪs],incontaminabilis,0
113703,113703,incontristabilis,a,aps---cn3i,incontristabil incontristabil incontristabil,[ɪŋ.kɔn̪.t̪rɪ.'st̪a.bɪ.lɪs],incontristabilis,0
113704,113704,incontritus,a,aps---mn1-,incontrit incontrit incontrit,[ɪŋ.'kɔn̪.t̪rɪ.t̪ʊs],incontritus,0
113705,113705,incontrouersus,a,aps---mn1-,incontrouers incontrouers incontrouers,[ɪŋ.kɔn̪.'t̪rɔ.wɛ.rsʊs],incontrouersus,0
113698,i1061,incontemptibilis,a,aps---cn3i,incontemptibil incontemptibil incontemptibil,[ɪŋ.kɔn̪.t̪ɛmp.'t̪ɪ.bɪ.lɪs],incontemptibilis,0
113699,i1063,incontiguus,a,aps---mn1-,incontigu incontigu incontigu,[ɪŋ.'kɔn̪.t̪ɪ.gʷʊs],incontiguus,0
113710,113710,inconuertibiliter,r,rp--------,,[ɪŋ.kɔ.n̪ʊ.jɛr.t̪ɪ.'bɪ.lɪ.t̪ɛr],inconuertibiliter,0
113711,113711,inconuincibilis,a,aps---cn3i,inconuincibil inconuincibil inconuincibil,[ɪŋ.kɔ.n̪ujŋ.'kɪ.bɪ.lɪs],inconuincibilis,0
113701,i1068,incontradicibilis,a,aps---cn3i,incontradicibil incontradicibil incontradicibil,[ɪŋ.kɔn̪.t̪ra.d̪ɪ.'kɪ.bɪ.lɪs],incontradicibilis,0
